#,Marca,Descripción,Sitio Web
1,Kokomi Skincare,"Skincare J-beauty mexicano con extracto de perla, retinol encapsulado y SPF formulado para la radiación UV mexicana.",https://kokomiskincare.com
2,Munch,"Línea minimalista clean sin fragancia ni comedogénicos — menos productos, más efectividad.",https://munchskincare.com
3,Rice & Shine,"Skincare con aceite de germen de arroz y vitamina E nacida en 2023 de un accidente feliz.",https://riceandshine.com.mx
4,Remedios del Bosque,"Cosmética viva con plantas medicinales mexicanas y agricultura regenerativa.",https://remediosdelbosque.com
5,Xamania,"Eco-skincare con laboratorio en CDMX que mezcla ciencia y tradición indígena.",https://xamania.com
6,Raw Apothecary,"Skincare natural con rodillos de cuarzo y rutina de 4 pasos (fundada 2016).",https://rawapothecary.mx
7,Ceiba Essentials,"Cosmética vegana cruelty-free fundada en 2018 con bálsamos multiusos.",https://beceiba.com.mx
8,NAE Cosmética,"Formulación artesanal en lotes pequeños con fermentos mexicanos (cempasúchil, chía).",https://naecosmetica.mx
9,Naked Lab,"Skincare con rutinas simples de 3 pasos: serum, hidratante y contorno.",https://nakedlab.shop
10,Macré,"Química verde con manteca de arándano y labiales que combinan skincare y color.",https://macrecosmetics.com
11,Xantería,"Maquillaje y skincare hipoalergénico libre de químicos, formulado al pH de la piel.",https://xanteria.com
12,Nube Lob,"Cosmética agroecológica con ingredientes de las chinampas de Xochimilco.",https://nubelob.com
13,Envera,"Dermocosmética con aguacate de Michoacán y tecnología coreana, fotoprotección dermatológica.",https://envera.mx
14,Tezzalli,"Herbolaria mexicana minimalista, extracto de perla y protector con luz azul.",https://tezzalli.mx
15,Bam Boo! Lifestyle,"Cuidado personal sólido con bambú para reducir plásticos, desde 2018.",https://bamboolifestyle.com.mx
16,Coco Cosmética Natural,"Clean beauty desde Saltillo (2015): barras multiusos que combinan color y skincare.",https://cococosmeticanatural.com.mx
17,Mar Amoli,"Jabones artesanales saponificados en frío y cosmética sin plástico.",https://amoli.mx
18,Vervan,"Cosmética artesanal con maíz azul, amaranto y cacao (Guadalajara).",https://vervan.com
19,Opāl Cosmética Natural,"Jabones artesanales premium, shampoos sólidos y línea hogar compostable.",https://opal.mx
20,Vivagreen Ecobelleza,"Marketplace y línea propia clean beauty desde 2014 sin tóxicos.",https://vivagreen.mx
21,Violeta Orgánica,"Jabones saponificación en frío y cosmética natural (Guadalajara).",https://cosmeticanatural.mx
22,Erbaria,"Cosmética con sábila y biotecnología formulada por química Cristina Gasser.",https://erbaria.mx
23,Konē Care,"Skincare clean mexicano presente en El Palacio de Hierro; fundada en Irapuato, Guanajuato.",https://konecare.mx
24,Cosmedica Skincare MX,"Sueros con niacinamida 10%, ácido láctico 5% e iluminadores.",https://cosmedica-skincare.com.mx
25,Azaphran,"Curaduría multimarca más línea propia de protectores y cosméticos minerales.",https://azaphran.com
26,Morenamía Beauty,"Skincare formulado por cosmetólogas para pieles mexicanas y morenas.",https://morenamiabeauty.mx
27,Nuestra Tierra Cosmética,"Despigmentantes y antiacné para pieles morenas (fototipos IV-VI) con ácido kójico.",https://laboratorionuestratierra.com
28,Amparo Lopez Organic,"Maquillaje y skincare orgánico con sistema refill (Guadalajara).",https://amparolopez.mx
29,Agua de Nube,"Biocosmética con microalgas (espirulina azul, astaxantina), desde 2016.",https://aguadenube.com.mx
30,Kinlu,"Ecosmética con base científica y química verde (Querétaro).",https://kinlu.mx
31,Biune,"Skincare clean con proyecto agrícola regenerativo propio.",https://biune.com
32,Biozano,"Skincare yucateco con aceite de coco orgánico certificado, desde 2017 en Mérida.",https://biozano.com
33,Xixänthé,"Cosmética con tepezcohuite y plantas mexicanas (Jalisco), agua micelar reconocida.",https://xixanthe.com.mx
34,Ramaya Cosmetología,"Skincare y servicios faciales con enfoque en activos clínicos (Irapuato).",https://ramayacosmetologia.com
35,Sanando Ando Skincare,"Skincare orgánico de la creadora de contenido María Fernanda Godínez.",https://sanandoandoskincare.com
36,Dlumay,"Aclarantes, antimanchas y set Rescue para pieles latinas.",https://dlumay.com
37,Altiva México,"Jabones artesanales saponificados en frío y cerámica artesanal.",https://altivamx.com
38,Rayito de Luna,"Cuidado personal natural certificado B Corp desde 2017, puntaje B Impact 140.",https://rayitodeluna.mx
39,Uiixol,"Aceites esenciales, exfoliantes y sales con herbolaria ancestral mexicana.",https://uiixol.com
40,For All Folks,"Skincare y fragancias botánicas a base de caléndula, sin género (CDMX).",https://forallfolks.com
41,Proyecto Botánico,"Cuidado personal natural con desodorantes minimalistas de formulación simple.",https://proyectobotanico.com
42,TEIA Cosméticos,"Clean beauty con betabel, cacao, maíz y lavanda mexicana (desde 2017).",https://teiacosmeticos.com
43,AHAL Bio Cosmética,"Cosmética 100% orgánica con más de 300 ingredientes mexicanos (Monterrey, desde 2010).",https://ahal.mx
44,Aloevida,"Skincare con aloe vera concentrado al 100% y superfoods mexicanos.",https://aloevida.com
45,Abeja Reyna,"Productos a base de miel y derivados apícolas desde 1987.",https://laabejareyna.com
46,Pai Pai,"Cosméticos artísticos naturales inspirados en cultura indígena pai-pai.",https://paipaicosmetics.com
47,Momiji,"Skincare inspirado en Corea con parches hidrogel y línea Sundae.",https://momijibeauty.com
48,Sesen,"Skincare a base de colágeno hidrolizado puro, suplementos y cremas.",https://sesencompany.com
49,Eza Orgánica,"Skincare con aceite de rosa mosqueta, tónico rosa y rodillo de cuarzo.",https://ezaorganica.com
50,Flor de Espuma,"Cosmética biodegradable con superfoods y herbolaria mexicana.",https://flordeespuma.com
51,Naturaleza Mexicana,"Jabones artesanales con tepezcohuite, caracol y carbón activado.",https://naturalezamexicana.com
52,GOC Cosmetics,"Skincare y maquillaje formulado por maquillistas profesionales con beauty coaches.",https://goccosmetics.com
53,Pitahia,"Esmaltes toxic-free veganos más skincare facial (Guadalajara).",https://pitahia.com
54,Yerbolina,"Hub multimarca CDMX y línea propia de cosmética natural.",https://yerbolina.com.mx
55,Balmoria,"Tienda curada CDMX de clean beauty mexicana.",https://balmoria.com
56,Yucatán Herbal,"Cosmética yucateca con aloe orgánico y miel melipona, 20 años de trayectoria.",https://yucatanamenities.com
57,Erbe Mexicana,"Cosmética herbolaria yucateca artesanal.",https://erbemexicana.com
58,Amapola Bio,"Cosmética orgánica artesanal certificada (Guadalajara).",https://amapolabio.com
59,Mom to Mom,"Cremas para embarazo y postparto (hermanas Rosas Buendía).",https://momtomom.mx
60,By Doctors,"Biotecnología avanzada con resultados visibles en 2 semanas (Guadalajara).",https://bydoctors.com.mx
61,Skin Der,"Dermocosméticos con activos clínicos: barras limpiadoras y vitamina C.",https://skinder.mx
62,Revé Dermatologique,"Dermocosmética con líneas Oxidermic, Clareskin y Capilarium (desde 2008).",https://reve.com.mx
63,Loobayan,"Dermocosmética para control de acné y pieles grasas con dermolimpiadores.",https://loobayan.com.mx
64,Farmapiel,"Dermocosmética mexicana con presencia internacional (Fórmula 405, Doak).",https://farmapiel.com
65,Kumiko Skincare,"Skincare con matcha japonés/mexicano y mesoterapia (CDMX).",https://kumikoskincare.com
